,1INCH,AAVE,AGLD,ALCX,ALGO,ALICE,ALPHA,AMPL,APE,ASD,ATLAS,ATOM,AUDIO,AVAX,AXS,BADGER,BAL,BAND,BAT,BCH,BIT,BNB,BNT,BOBA,BRZ,BTC,BTT,C98,CEL,CHR,CHZ,CLV,COMP,CREAM,CRO,CRV,CVC,CVX,DAWN,DENT,DODO,DOGE,DOT,DYDX,EDEN,ENJ,ENS,ETH,ETHW,FIDA,FTM,FTT,FXS,GAL,GALA,GMT,GRT,GST,HNT,HOLY,HT,IMX,KBTT,KNC,KSHIB,KSOS,LDO,LEO,LINA,LINK,LOOKS,LRC,LTC,MANA,MAPS,MATIC,MEDIA,MKR,MNGO,MOB,MTL,NEAR,OKB,OMG,OXY,PAXG,PEOPLE,PERP,POLIS,PROM,PUNDIX,RAY,REEF,REN,RNDR,RSR,SAND,SECO,SHIB,SKL,SLP,SNX,SOL,SOS,SPELL,SRM,STEP,STG,STMX,STORJ,SUSHI,SXP,TLM,TOMO,TONCOIN,TRU,TRX,TRYB,UNI,WAVES,XAUT,XRP,YFI,YFII,ZRX
2021-09-26 00:00:00,,-0.18327709375725326,,,,,,,,,,,-0.11701323497793044,,-0.13920431753208176,,,,-0.17933858143238826,-0.17699089440687368,,-0.1849930423942337,0.12809220126394513,,,-0.18074866156702177,,-0.14904747434611398,-0.016388514432657864,,-0.17224921430016232,,-0.17649016060834063,,,-0.13508074038913032,,,,,,-0.16862753954805237,,-0.09609517523243412,,-0.18526939605078793,,,,,-0.1648100104633756,-0.15977989633982317,,,,,-0.16665429634702858,,,,-0.1382424180404817,,,,,,,,,-0.18501420518828715,,,-0.17583332797956275,,,-0.17626847839622878,,-0.1688573618646141,,,,,-0.1397675666924111,-0.09930077793011267,,,,-0.12733921384013622,,,,-0.16610829802877952,,-0.1322881174090775,,,-0.15604807351938985,,-0.08497887484885602,,,-0.16811376246639456,-0.14984850934117283,,,-0.17648431338310286,,,,,-0.17044672013828704,,,,,,-0.16011688632656035,,-0.18283197632805606,,,-0.17469162198686056,-0.17778713242695987,,-0.1736442233325148
2021-09-26 01:00:00,,-0.18503016708827394,,,,,,,,,,,-0.11696565791284726,,-0.13911121308683372,,,,-0.1795045227224275,-0.17703314513222984,,-0.18485253594581608,0.1283166807710063,,,-0.18082331296072174,,-0.14929030638653615,-0.0174535883699152,,-0.17197817701652945,,-0.17683956805209766,,,-0.13500580724262778,,,,,,-0.16850203338095482,,-0.09596463048190688,,-0.18512553610822996,,,,,-0.16468321840201047,-0.15962701775418967,,,,,-0.1664774202769558,,,,-0.1380627386587719,,,,,,,,,-0.1847969971324416,,,-0.175704586729411,,,-0.17624079892772873,,-0.16878573509267675,,,,,-0.1390442761527329,-0.09913630664811014,,,,-0.1273849531147957,,,,-0.16601625009403245,,-0.13251014909152908,,,-0.156202890312923,,-0.08490308378616189,,,-0.16828192745479764,-0.14971247385817682,,,-0.17650523115156935,,,,,-0.17043373500578526,,,,,,-0.16001838193174633,,-0.18281712238561618,,,-0.17452817624597697,-0.17769592353934685,,-0.17339035343420314
2021-09-26 02:00:00,,-0.18526385269650777,,,,,,,,,,,-0.11871608045076837,,-0.1389201594266717,,,,-0.17917462291991473,-0.17698535650606145,,-0.1849607828864754,0.1279284585823179,,,-0.1809445831435481,,-0.14933263686952628,-0.01683546491055935,,-0.17191757451581133,,-0.17680715976963737,,,-0.1348242987368112,,,,,,-0.16853828873732923,,-0.09654774058755505,,-0.18501977087808746,,,,,-0.16454259711401312,-0.15965386856672004,,,,,-0.16601486177821925,,,,-0.13744614405195285,,,,,,,,,-0.1847026087286222,,,-0.1756886132500758,,,-0.17627987838573175,,-0.1696401536003842,,,,,-0.13802844223898184,-0.09910717581271078,,,,-0.12784657591732376,,,,-0.16611488406500075,,-0.13246670793417095,,,-0.15628262261006737,,-0.08490738968644766,,,-0.16825865346547922,-0.14952120373752237,,,-0.1767656677212543,,,,,-0.17093509465237974,,,,,,-0.16043108236501177,,-0.18253208568114418,,,-0.17451302901994428,-0.17725278468425953,,-0.17300705497053856
2021-09-26 03:00:00,,-0.18541420059637057,,,,,,,,,,,-0.1193664068278564,,-0.13813858837285323,,,,-0.17899318282012425,-0.17733645058935665,,-0.1851171017065762,0.12667046737590548,,,-0.1810640905825225,,-0.14873330193998474,-0.01647140850112016,,-0.17186640029125144,,-0.17626335246222674,,,-0.13538479262343223,,,,,,-0.16881161280085555,,-0.09632400419548878,,-0.18479072887930723,,,,,-0.1651102298905725,-0.15978989505857039,,,,,-0.16565748304574424,,,,-0.13727450158145935,,,,,,,,,-0.18458880415341428,,,-0.17511686004423768,,,-0.1777399917895733,,-0.17009576680766833,,,,,-0.13746078333617723,-0.09788226531435999,,,,-0.127758425546383,,,,-0.16612201179432182,,-0.13164151735038923,,,-0.15601424527967073,,-0.08546386224802259,,,-0.16822739327068728,-0.14930700209489225,,,-0.17689487099961151,,,,,-0.17071354642912026,,,,,,-0.16029127136069563,,-0.18262713455080712,,,-0.1745683292939458,-0.1769160536668507,,-0.17529162492100356
2021-09-26 04:00:00,,-0.18391128305273877,,,,,,,,,,,-0.11788050870943555,,-0.13736882917163198,,,,-0.1778627835028495,-0.17612237140473058,,-0.1839351128882282,0.1265746068749177,,,-0.1805169879912174,,,-0.015407410971719535,,-0.1704746463669574,,-0.17494312989014527,,-0.16205036633700307,-0.13834123655754688,,,,,,-0.16756058275632024,,-0.10095739702592957,,-0.1834518604463499,,,,,-0.16388349127882185,-0.15860916539681677,,,,,-0.1647855384307773,,-0.17268485725862276,,-0.13605491798609537,,,,,,,,,-0.18486047877539058,,,-0.17549473790202383,,,-0.17648365897070295,,-0.16921620748527638,,,,,-0.13593570383789572,-0.0965927766014935,,,,-0.12693964094972865,,,,-0.16468578469440878,,-0.13144281203778474,,,,,-0.08418471819245948,,,-0.16703847789669443,-0.1481539238393997,,,-0.17585973058771837,,,,,-0.16912903465005216,,,,,,-0.15913709767584347,,-0.1813531546289398,,,-0.173315830590131,-0.17630022726473943,,-0.17477698239402964
2021-09-26 05:00:00,,-0.18415064640094214,,,,,,,,,,,-0.11833359975668817,,-0.13750868552148982,,,,-0.17813477722173687,-0.17654800871827123,,-0.1842623642611234,0.12830578399453813,,,-0.1806553589267046,,,-0.015420329667951895,,-0.1708061946604963,,-0.17510924346540982,,-0.1624498081904493,-0.13950936783060797,,,,,,-0.16802796131903225,,-0.10232015628750518,,-0.18371175873227294,,,,,-0.1643638285394503,-0.1586910680039067,,,,,-0.1651070647488651,,-0.17292037046626038,,-0.13666537776786689,,,,,,,,,-0.18511025683373136,,,-0.17631591342164563,,,-0.17683741906952424,,-0.15620683040214814,,,,,-0.1364552854935819,-0.09623483101939936,,,,-0.12636628076574824,,,,-0.16481419386181254,,-0.1327414910372708,,,,,-0.0845591915426914,,,-0.16685111050896168,-0.14810581505325093,,,-0.17607595638119644,,,,,-0.16943970723713048,,,,,,-0.15942715717680556,,-0.18161011694904752,,,-0.17350099572093314,-0.17632143810251863,,-0.17536118193099967
2021-09-26 06:00:00,,-0.1842648169858806,,,,,,,,,,,-0.11726735751005996,,-0.13752877044348188,,,,-0.178518441283826,-0.17751168706892043,,-0.18457297259574793,0.12601037674251195,,,-0.1806075515409907,,,-0.011970857169304851,,-0.1712622393587291,,-0.17518047680130747,,-0.16321981830433,-0.1443056484345306,,,,,,-0.16836881206854237,,-0.09390593339664155,,-0.1838677804472782,,,,,-0.164274059007283,-0.15909250915274498,,,,,-0.16560784284199612,,-0.17277676365837583,,-0.13676531419668414,,,,,,,,,-0.18628449763489918,,,-0.17626806512233562,,,-0.17742940720203476,,-0.15309482131207242,,,,,-0.13607714234575433,-0.09678497901069318,,,,-0.12287677825377202,,,,-0.16541296528797433,,-0.13110129079065178,,,,,-0.08559066704239758,,,-0.16660157475433646,-0.14840276822082818,,,-0.17616739775231235,,,,,-0.16940641617676208,,,,,,-0.16012788627990485,,-0.18247487394832282,,,-0.1739479498399088,-0.1765623704474892,,-0.1759479461785484
2021-09-26 07:00:00,,-0.1842861983910926,,,,,,,,,,,-0.11790884560706054,,-0.1374921139994443,,,,-0.17887249800979824,-0.17741268062174192,,-0.18479408959850802,0.12664613616966186,,,-0.18067561452441622,,,-0.011755447177530222,,-0.17134304940977033,,-0.1752658685670599,,-0.16333512560370717,-0.14434079869318225,,,,,,-0.16844506318392075,,-0.09379507827121518,,-0.17956042472460035,,,,,-0.16402503292721907,-0.15925647514132227,,,,,-0.16572610508089483,,-0.17305051649562458,,-0.13551938698167237,,,,,,,,,-0.18615413534786857,,,-0.17626532362202135,,,-0.1789480607870458,,-0.15352061514973814,,,,,-0.13542778028643468,-0.09636308669571635,,,,-0.12228361300076876,,,,-0.16575784637479885,,-0.13082918445413247,,,,,-0.0857603678732107,,,-0.166724310008743,-0.1489356276961515,,,-0.17671829490942723,,,,,-0.16971989709712318,,,,,,-0.1605516332717463,,-0.18277892176164345,,,-0.1741612904467012,-0.17671841020274118,,-0.17600699505934508
2021-09-26 08:00:00,,-0.18443392543795462,,,,,,,,,,,-0.11804234302694014,,-0.1377073065474301,,,,-0.1789400391006318,-0.1775439094868476,,-0.1849181899148977,0.12614274126070055,,,-0.1812586365014286,,,-0.012261392177633175,,-0.17124275757287238,,-0.1753639885927914,,-0.16426409184036556,-0.1442280522462943,,,,,,-0.16889260730272462,,-0.09417948586485834,,-0.17834092249285993,,,,,-0.16427330234534476,-0.1591523549761552,,,,,-0.16655528257409158,,-0.17348459669571983,,-0.1317465668377154,,,,,,,,,-0.18622708581222897,,,-0.17668181348147863,,,-0.17939688431204284,,-0.15347857910154908,,,,,-0.1286206277702661,-0.09631956236173314,,,,-0.12248800477677914,,,,-0.16634970579000394,,-0.1311714085634659,,,,,-0.08596030228732691,,,-0.16732332623833154,-0.1494824138684288,,,-0.1774271267143256,,,,,-0.16975228443027102,,,,,,-0.16100234354902299,,-0.18313128181760654,,,-0.17479924630992655,-0.17604077204187163,,-0.17699310823197503
2021-09-26 09:00:00,,-0.18383687048275524,,,,,,,,,,,-0.11825818102871775,,-0.139072558049575,,,,-0.17882582641763412,-0.17768939237283163,,-0.18420058820917587,0.12698281705681616,,,-0.1809453294852035,,,-0.011683386157457171,,-0.17196892394439414,,-0.17383305139109415,,-0.16461918223582378,-0.14520112970158183,,,,,,-0.16919519887200832,,-0.09577265165246708,,-0.1784412699998016,,,,,-0.16355632072364845,-0.15795154720724738,,,,,-0.1666957268712498,,-0.17307736105711255,,-0.12830004325144861,,,,,,,,,-0.18598281872730188,,,-0.1767595937579597,,,-0.17910207276885395,,-0.15397456412627036,,,,,-0.12895561317000162,-0.0974952454314979,,,,-0.1240686016431355,,,,-0.1666097218614832,,-0.1313184408722032,,,,,-0.0874787296843003,,,-0.16723210583142303,-0.1495944183547996,,,-0.17705532642777713,,,,,-0.16989194430046559,,,,,,-0.16181268272829358,,-0.18298184498690861,,,-0.1745457774604325,-0.17555343313952881,,-0.1771936132544584
