,BTC,BNB,XRP,SOL,DOGE,LINK,UNI,LTC,BCH,MATIC,FTT,TRX,AXS,SHIB,AAVE,OKB,GRT,FTM,CEL,MKR,COMP,SUSHI,SNX,HT,CHZ,OMG,ENJ,YFI,SRM,BAT,CRV,REN,AUDIO,BNT,ZRX,DYDX,RAY,PERP,SAND,C98,CRO,HNT,LEO,MANA,WAVES,SKL,SPELL,1INCH
2021-09-26 17:00:00,CSP,BTO,CSP,CSP,BTO,STO,STO,CSP,CSP,CSP,CLP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,STO,STO,STO,BTO,CSP,CSP,CSP,STO,CSP,CSP,CSP,CLP,CSP,CLP,CSP,CLP,CSP,STO,,,CSP,CSP,,,,,,
2021-09-26 18:00:00,CSP,BTO,CSP,CSP,BTO,STO,STO,CSP,BTO,CSP,CLP,CSP,CSP,BTO,STO,BTO,CSP,CSP,CSP,CSP,STO,STO,CLP,BTO,BTO,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CLP,CSP,STO,,,CSP,CSP,,,,,,
2021-09-26 19:00:00,CSP,BTO,CSP,CSP,BTO,CLP,STO,CSP,BTO,CSP,CLP,CSP,CSP,BTO,STO,BTO,CSP,CSP,CSP,CSP,STO,STO,CLP,BTO,BTO,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CLP,CSP,STO,,,CSP,CSP,,,,,,
2021-09-26 20:00:00,CSP,BTO,CSP,CSP,BTO,CLP,STO,CSP,BTO,CSP,CLP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,STO,STO,CLP,BTO,BTO,CSP,CSP,STO,CSP,CSP,CSP,CLP,CSP,CLP,CSP,CLP,CSP,STO,,,CSP,CSP,,,,,,
2021-09-26 21:00:00,CSP,BTO,CSP,BTO,BTO,CLP,STO,BTO,BTO,CSP,CLP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,STO,STO,CLP,BTO,BTO,CSP,CSP,STO,CSP,CSP,CSP,CLP,CSP,CLP,CSP,CLP,CSP,STO,,,CSP,CSP,,,,,,
2021-09-26 22:00:00,CSP,BTO,CSP,BTO,BTO,CLP,STO,BTO,BTO,CSP,CLP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,STO,STO,CLP,BTO,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CLP,CSP,CLP,CSP,CLP,CSP,STO,,,CSP,CSP,,,,,,
2021-09-26 23:00:00,CSP,BTO,CSP,BTO,BTO,CLP,STO,BTO,BTO,BTO,CLP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,STO,STO,CLP,BTO,BTO,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CLP,CSP,CLP,CSP,STO,,,CSP,CSP,,,,,,
2021-09-27 00:00:00,CSP,BTO,CSP,BTO,BTO,CLP,STO,BTO,BTO,BTO,CLP,CSP,CSP,CSP,STO,BTO,CSP,BTO,CSP,CSP,CLP,STO,CLP,BTO,BTO,CSP,CSP,CSP,CSP,BTO,CSP,CLP,CSP,CLP,CSP,CLP,CSP,STO,,,CSP,CSP,,,,,,
2021-09-27 01:00:00,CSP,BTO,CSP,BTO,BTO,CLP,STO,BTO,BTO,BTO,CLP,CSP,CSP,CSP,STO,BTO,BTO,BTO,CSP,CSP,STO,STO,CLP,BTO,BTO,CSP,CSP,CSP,CSP,BTO,CSP,CLP,CSP,CLP,CSP,STO,CSP,STO,,,BTO,CSP,,,,,,
2021-09-27 02:00:00,CSP,BTO,CSP,BTO,BTO,CLP,STO,BTO,BTO,BTO,CLP,CSP,CSP,CSP,STO,BTO,BTO,BTO,CSP,CSP,STO,STO,STO,BTO,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CLP,CSP,CSP,BTO,STO,CSP,STO,,,CSP,CSP,,,,,,
