,BTC,BNB,XRP,SOL,DOGE,LINK,UNI,LTC,BCH,MATIC,FTT,TRX,AXS,SHIB,AAVE,OKB,GRT,FTM,CEL,MKR,COMP,SUSHI,SNX,HT,CHZ,OMG,ENJ,YFI,SRM,BAT,CRV,REN,AUDIO,BNT,ZRX,DYDX,RAY,PERP,SAND,C98,CRO,HNT,LEO,MANA,WAVES,SKL,SPELL,1INCH
2021-09-29 01:00:00,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,,STO,CLP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-29 02:00:00,CSP,CSP,CSP,STO,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,,STO,CLP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-29 03:00:00,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,,STO,CLP,CSP,CSP,CSP,,CSP,,,,,,
2021-09-29 04:00:00,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,,STO,CLP,CSP,,CLP,,CSP,,CSP,,,,
2021-09-29 05:00:00,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,STO,BTO,CSP,CSP,CSP,CSP,,STO,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 06:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CLP,,STO,CLP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 07:00:00,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CLP,,STO,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 08:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CLP,,STO,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 09:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,STO,,STO,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 10:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,STO,,STO,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 11:00:00,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CLP,BTO,CSP,CSP,CSP,STO,,STO,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 12:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CLP,BTO,CSP,CSP,CSP,STO,,CLP,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 13:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CLP,BTO,BTO,CSP,CSP,STO,,CLP,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 14:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CLP,BTO,BTO,CSP,CSP,STO,,CLP,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 15:00:00,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CLP,CLP,,CLP,CSP,CSP,,CLP,,CSP,,CSP,,,,
2021-09-29 16:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CLP,CLP,,CLP,CSP,CSP,,CLP,,CSP,,CSP,,,,
2021-09-29 17:00:00,CSP,STO,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CLP,CLP,,CLP,CSP,CSP,,CLP,,CSP,,CSP,,,,
2021-09-29 18:00:00,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CLP,CLP,,CLP,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 19:00:00,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CLP,CLP,,CLP,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 20:00:00,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,,CLP,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 21:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,,CLP,CSP,CSP,,CLP,,CSP,,CSP,,,,
2021-09-29 22:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,,CLP,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-29 23:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,,CLP,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-30 00:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,BTO,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,,CLP,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-30 01:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,,CLP,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-30 02:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CLP,,CLP,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-30 03:00:00,STO,STO,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,,CSP,CSP,CSP,,CSP,,CSP,,CSP,,,,
2021-09-30 04:00:00,STO,STO,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,BTO,,,,STO,,,,,
2021-09-30 05:00:00,STO,CLP,CSP,CSP,CSP,CLP,CSP,CSP,STO,CLP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,,,,STO,,,,,
2021-09-30 06:00:00,STO,STO,CSP,CSP,CSP,CLP,CSP,CLP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CLP,CSP,CSP,CSP,,,,CLP,,,,,
2021-09-30 07:00:00,STO,STO,CSP,CSP,CSP,CLP,CSP,CLP,STO,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,,,,CLP,,,,,
2021-09-30 08:00:00,STO,STO,CSP,CSP,CSP,CLP,CSP,CLP,STO,CLP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,,,,CLP,,,,,
2021-09-30 09:00:00,STO,STO,CSP,BTO,CSP,CLP,CSP,CLP,STO,CLP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 10:00:00,STO,STO,CSP,BTO,CSP,CLP,CSP,CLP,STO,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CLP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 11:00:00,STO,CLP,CSP,CSP,CSP,CLP,CSP,CLP,STO,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CLP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 12:00:00,STO,CLP,CSP,CSP,CSP,CLP,CSP,CLP,STO,CSP,BTO,CSP,CSP,CSP,CLP,CSP,BTO,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CLP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 13:00:00,STO,CLP,CSP,CSP,CSP,CLP,CSP,CLP,STO,CSP,BTO,CSP,CSP,CSP,CSP,CSP,BTO,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 14:00:00,STO,CLP,CSP,CSP,CSP,CLP,CSP,CLP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 15:00:00,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CLP,CSP,CSP,CSP,BTO,CSP,CSP,CLP,CSP,BTO,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 16:00:00,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CLP,CSP,CSP,CSP,BTO,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 17:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 18:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,STO,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 19:00:00,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,STO,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 20:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,STO,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 21:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 22:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-09-30 23:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-10-01 00:00:00,STO,STO,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CLP,CSP,CSP,BTO,STO,CLP,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-10-01 01:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,CLP,STO,CSP,CSP,CSP,CSP,CSP,CSP,CLP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CLP,CSP,CSP,BTO,CLP,CLP,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-10-01 02:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CLP,CSP,CSP,BTO,STO,CSP,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-10-01 03:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,BTO,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,,,,CSP,,,,,
2021-10-01 04:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,BTO,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,CLP,CSP,,,,,,
2021-10-01 05:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,CSP,CSP,,,,,,
2021-10-01 06:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CLP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,CLP,CSP,,,,,,
2021-10-01 07:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,BTO,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,CLP,CSP,,,,,,
2021-10-01 08:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,BTO,CSP,CSP,BTO,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,CLP,CSP,,,,,,
2021-10-01 09:00:00,CSP,CLP,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,BTO,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,CLP,CSP,,,,,,
2021-10-01 10:00:00,CSP,STO,CSP,CSP,BTO,CSP,CSP,STO,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,BTO,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,CSP,CSP,,,,,,
2021-10-01 11:00:00,CSP,CLP,CSP,CSP,BTO,CSP,CSP,STO,CLP,CSP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,CLP,CSP,,,,,,
2021-10-01 12:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,STO,STO,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,STO,CSP,,,,,,
2021-10-01 13:00:00,CLP,CLP,CSP,CSP,CSP,CSP,CSP,CLP,STO,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,STO,CSP,CSP,CSP,BTO,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,STO,CSP,,,,,,
2021-10-01 14:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,STO,STO,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,STO,CSP,BTO,CSP,BTO,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,STO,CSP,,,,,,
2021-10-01 15:00:00,STO,STO,CSP,CSP,CSP,CSP,CSP,STO,STO,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,STO,CSP,BTO,CSP,BTO,CSP,CSP,STO,CSP,CSP,BTO,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,STO,CSP,,,,,,
2021-10-01 16:00:00,CLP,CLP,CSP,CSP,CSP,CSP,CSP,STO,STO,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,STO,CSP,BTO,CSP,BTO,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,STO,CSP,,,,,,
2021-10-01 17:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,STO,STO,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,STO,CSP,BTO,CSP,BTO,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,STO,CSP,,,,,,
2021-10-01 18:00:00,STO,STO,CSP,CSP,CSP,CSP,CSP,STO,STO,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,STO,CSP,BTO,CSP,BTO,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,STO,CSP,,,,,,
2021-10-01 19:00:00,STO,STO,CSP,CSP,CSP,CSP,CSP,STO,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,STO,CSP,BTO,CSP,BTO,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,CSP,CSP,CSP,,,STO,CSP,,,,,,
2021-10-01 20:00:00,STO,STO,CSP,CSP,CSP,CSP,CSP,STO,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,STO,CSP,BTO,CSP,BTO,CLP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,,,STO,CSP,,,,,,
2021-10-01 21:00:00,STO,STO,CSP,CSP,CSP,CSP,CSP,STO,STO,CSP,CSP,CSP,CSP,CSP,CSP,STO,CSP,CSP,STO,CSP,BTO,CSP,BTO,CLP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,,,STO,CSP,,,,,,
2021-10-01 22:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,STO,STO,CSP,CSP,CSP,CLP,CSP,CSP,STO,CSP,CSP,STO,CSP,BTO,CSP,BTO,CLP,CSP,CLP,CSP,BTO,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,,,STO,CSP,,,,,,
2021-10-01 23:00:00,STO,STO,CSP,CSP,CLP,CSP,CSP,STO,STO,CSP,CSP,CSP,CLP,CSP,CSP,STO,CSP,CSP,STO,CSP,BTO,CSP,BTO,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,,,CLP,CSP,,,,,,
2021-10-02 00:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,STO,STO,CSP,CSP,CSP,CLP,CSP,CSP,STO,CSP,CSP,STO,CSP,BTO,CSP,BTO,CLP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,,,CLP,CSP,,,,,,
2021-10-02 01:00:00,STO,STO,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,CLP,CSP,CSP,STO,CSP,CSP,STO,CSP,BTO,CSP,BTO,CLP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,,,CLP,CSP,,,,,,
2021-10-02 02:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,STO,CLP,CSP,CSP,CSP,STO,CSP,CSP,STO,CSP,CSP,STO,CSP,BTO,CSP,CSP,CLP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,BTO,,,CLP,CSP,,,,,,
2021-10-02 03:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,STO,CSP,CSP,STO,CSP,BTO,STO,CSP,BTO,CSP,BTO,CLP,CSP,CSP,CSP,BTO,CSP,CSP,CSP,BTO,CSP,CLP,CSP,CSP,CSP,CSP,,,CLP,CSP,,,,,,
2021-10-02 04:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,STO,CSP,CSP,STO,CSP,BTO,STO,CSP,BTO,CSP,BTO,CLP,CSP,CSP,CSP,BTO,CSP,,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CLP,CSP,CLP,,,,,,,
2021-10-02 05:00:00,STO,CLP,CSP,CSP,CSP,CSP,CSP,CLP,CLP,CSP,CSP,CSP,STO,CSP,CSP,STO,CSP,BTO,STO,CSP,BTO,CSP,BTO,CLP,CSP,CLP,CSP,CSP,CSP,,CSP,CSP,CSP,CLP,CSP,CSP,CSP,CSP,CSP,CSP,CLP,,,,,,,
