,1INCH,AAVE,AGLD,ALCX,ALGO,ALICE,ALPHA,AMPL,APE,ASD,ATLAS,ATOM,AUDIO,AVAX,AXS,BADGER,BAL,BAND,BAT,BCH,BIT,BNB,BNT,BOBA,BRZ,BTC,BTT,C98,CEL,CHR,CHZ,CLV,COMP,CREAM,CRO,CRV,CVC,CVX,DAWN,DENT,DODO,DOGE,DOT,DYDX,EDEN,ENJ,ENS,ETH,ETHW,FIDA,FTM,FTT,FXS,GAL,GALA,GMT,GRT,GST,HNT,HOLY,HT,IMX,KBTT,KNC,KSHIB,KSOS,LDO,LEO,LINA,LINK,LOOKS,LRC,LTC,MANA,MAPS,MATIC,MEDIA,MKR,MNGO,MOB,MTL,NEAR,OKB,OMG,OXY,PAXG,PEOPLE,PERP,POLIS,PROM,PUNDIX,RAY,REEF,REN,RNDR,RSR,SAND,SECO,SHIB,SKL,SLP,SNX,SOL,SOS,SPELL,SRM,STEP,STG,STMX,STORJ,SUSHI,SXP,TLM,TOMO,TONCOIN,TRU,TRX,TRYB,UNI,WAVES,XAUT,XRP,YFI,YFII,ZRX
2021-09-26 00:00:00,,-0.183660118404413,,,,,,,,,,,-0.1172577770105524,,-0.13949523596336408,,,,-0.1797133751148233,-0.17736078173698638,,-0.18537965314485982,0.12835989685637972,,,-0.18112640212860556,,-0.14935896366046927,-0.01642276423894493,,-0.17260919215215867,,-0.17685900147169323,,,-0.1353630410949357,,,,,,-0.16897994858353368,,-0.09629600131403879,,-0.185656584343646,,,,,-0.16515444137294544,-0.16011381498270522,,,,,-0.1670025815677694,,,,-0.13853132623029948,,,,,,,,,-0.1854008601663263,,,-0.17620079615044887,,,-0.17663685597336629,,-0.16921025119804156,,,,,-0.14005966223921001,-0.09950830329320987,,,,-0.12760533578942532,,,,-0.16645544218595965,,-0.13256458190584192,,,-0.15637419315100562,,-0.08515646934737053,,,-0.16846509777639615,-0.1501616727116802,,,-0.17685314202653568,,,,,-0.17080293101822913,,,,,,-0.16045150923350568,,-0.18321407073923943,,,-0.17505670414471006,-0.17815868378818767,,-0.17400711656706905
2021-09-26 01:00:00,,-0.18541685542455216,,,,,,,,,,,-0.11721010051575764,,-0.13940193694226066,,,,-0.17987966319999535,-0.17740312076071546,,-0.18523885305673127,0.12858484549562882,,,-0.1812012095337478,,-0.14960230318742287,-0.01749006403847809,,-0.1723375884368032,,-0.17720913913034028,,,-0.13528795134816513,,,,,,-0.16885418012530973,,-0.0961651837424187,,-0.18551242375302224,,,,,-0.16502738433310665,-0.15996061690124644,,,,,-0.16682533585033404,,,,-0.13835127134268016,,,,,,,,,-0.1851831981746547,,,-0.17607178584827918,,,-0.176609118658474,,-0.16913847473571747,,,,,-0.13933486011890775,-0.099343488288195,,,,-0.12765117065305978,,,,-0.16636320188332301,,-0.1327870776048549,,,-0.15652933349095965,,-0.08508051989147813,,,-0.16863361420716458,-0.15002535293269387,,,-0.17687410351034447,,,,,-0.17078991874853477,,,,,,-0.16035279897766297,,-0.18319918575404376,,,-0.1748929168240581,-0.17806728428618157,,-0.17375271611457718
2021-09-26 02:00:00,,-0.18565102940449577,,,,,,,,,,,-0.1189641812029937,,-0.13921048400546635,,,,-0.1795490739509573,-0.17735523226270106,,-0.18534732621903893,0.12819581197441762,,,-0.18132273315505917,,-0.1496447221354687,-0.01687064878364978,,-0.17227685928495273,,-0.17717666311889815,,,-0.135106063513814,,,,,,-0.16889051125053658,,-0.09674951247030654,,-0.18540643748767488,,,,,-0.16488646916539898,-0.15998752382838877,,,,,-0.1663618106661152,,,,-0.13773338813548627,,,,,,,,,-0.185088612511678,,,-0.17605577898650557,,,-0.17664827978732475,,-0.16999467886398847,,,,,-0.13831690324795343,-0.09931429657324042,,,,-0.12811375818559007,,,,-0.16646204198611692,,-0.13274354566127997,,,-0.15660923241795585,,-0.0850848347905204,,,-0.168610291578317,-0.1498336830830336,,,-0.1771350843576757,,,,,-0.17129232616982823,,,,,,-0.16076636189971297,,-0.1829135533609294,,,-0.17487773794234612,-0.17762321933007347,,-0.17336861660831754
2021-09-26 03:00:00,,-0.1858016915113885,,,,,,,,,,,-0.11961586667535118,,-0.1384272795725333,,,,-0.17936725466559167,-0.1777070600857377,,-0.18550397172459554,0.12693519173440324,,,-0.18144249034861942,,-0.14904413467597258,-0.016505831544938836,,-0.17222557811309844,,-0.17663171932684685,,,-0.13566772875779756,,,,,,-0.1691644065248501,,-0.09652530849906345,,-0.18517691682170848,,,,,-0.1654552882186474,-0.16012383459743915,,,,,-0.1660036850598214,,,,-0.1375613869551543,,,,,,,,,-0.18497457010010782,,,-0.17548283089283162,,,-0.17811144463316517,,-0.17045124424202338,,,,,-0.13774805801385942,-0.09808682617554916,,,,-0.12802542359214755,,,,-0.16646918461144028,,-0.13191663053939195,,,-0.15634029421478365,,-0.08564247030542563,,,-0.1685789660538931,-0.14961903378757951,,,-0.17726455765362809,,,,,-0.17107031494037248,,,,,,-0.16062625870907118,,-0.18300880087003504,,,-0.17493315378653432,-0.17728578458981262,,-0.17565796100484804
2021-09-26 04:00:00,,-0.18429563307082272,,,,,,,,,,,-0.11812686322832183,,-0.13765591167739183,,,,-0.17823449296472185,-0.17649044363777017,,-0.1843195127074856,0.12683913089777166,,,-0.18089424438597046,,,-0.015439610402811043,,-0.17083091560898755,,-0.17530873766592084,,-0.16238902995893145,-0.13863035126486695,,,,,,-0.16791076199461133,,-0.10116838450167623,,-0.18383525033254774,,,,,-0.16422598588704343,-0.1589406373683927,,,,,-0.16512991819706757,,-0.17304574554621707,,-0.13633925459296561,,,,,,,,,-0.18524681248575872,,,-0.17586149846487054,,,-0.1768524862465012,,-0.16956984675812303,,,,,-0.13621979130311865,-0.09679464260349903,,,,-0.12720492784504442,,,,-0.1650299559887133,,-0.13171750995922354,,,,,-0.08436065300963101,,,-0.16738756600556212,-0.14846354575254006,,,-0.17622725393652916,,,,,-0.16948249174331612,,,,,,-0.15946967295537104,,-0.18173215850028587,,,-0.17367803752771432,-0.1766686711927717,,-0.17514224294372926
2021-09-26 05:00:00,,-0.18453549665645408,,,,,,,,,,,-0.11858090117534763,,-0.13779606030834143,,,,-0.1785070551141537,-0.1769169704764473,,-0.1846474479920419,0.1285739259463532,,,-0.18103290449823173,,,-0.015452556097393086,,-0.17116315679417782,,-0.1754751983963713,,-0.1627893065925013,-0.13980092377627115,,,,,,-0.16837911731609553,,-0.10253399174809612,,-0.18409569177117593,,,,,-0.16470732698839197,-0.1590227111409924,,,,,-0.16545211646221658,,-0.17328175094500314,,-0.136950990154147,,,,,,,,,-0.18549711254688067,,,-0.17668439013165074,,,-0.1772069856566803,,-0.15653328181444506,,,,,-0.13674045881506905,-0.09643594896294612,,,,-0.1266303694148584,,,,-0.1651586335141264,,-0.13301890302436478,,,,,-0.08473590895914963,,,-0.1671998070450141,-0.1484153364254537,,,-0.17644393161303612,,,,,-0.16979381359460752,,,,,,-0.1597603386419493,,-0.18198965783732232,,,-0.17386358962890888,-0.17668992635836892,,-0.17572766337970488
2021-09-26 06:00:00,,-0.18464990584266625,,,,,,,,,,,-0.11751243062483305,,-0.13781618720513789,,,,-0.17889152098288982,-0.17788266278613887,,-0.18495870545660043,0.1262737215997487,,,-0.18098499720146696,,,-0.011995874661941143,,-0.17162015456491986,,-0.1755465806004269,,-0.16356092592467616,-0.1446072279660568,,,,,,-0.16872068039814755,,-0.09410218425520818,,-0.18425203955072703,,,,,-0.16461736984989217,-0.1594249912482146,,,,,-0.16595394111467748,,-0.17313784401807047,,-0.13705113543675282,,,,,,,,,-0.18667380735448938,,,-0.17663644183578586,,,-0.1778002109653208,,-0.15341476904101617,,,,,-0.1363615253985679,-0.09698724669006306,,,,-0.12313357430869593,,,,-0.16575865629259598,,-0.1313752749782982,,,,,-0.08576954010488462,,,-0.16694974979399013,-0.14871291018548963,,,-0.17653556408440457,,,,,-0.16976045296036935,,,,,,-0.16046253217528353,,-0.18285622206322774,,,-0.17431147782229728,-0.17693136221976113,,-0.1763156538861618
2021-09-26 07:00:00,,-0.1846713319321594,,,,,,,,,,,-0.11815525934627814,,-0.13777945415402815,,,,-0.17924631764013094,-0.17778344942870924,,-0.18518028456436353,0.12691080967918827,,,-0.18105320242743728,,,-0.011780014492054219,,-0.17170113349817465,,-0.1756321508235647,,-0.16367647420090836,-0.14464245168405432,,,,,,-0.16879709086817288,,-0.09399109745737566,,-0.17993568202988636,,,,,-0.16436782333858127,-0.15958929990380843,,,,,-0.1660724505058602,,-0.1734121689621862,,-0.13580260440026978,,,,,,,,,-0.18654317262769027,,,-0.17663369460610212,,,-0.17932203833349067,,-0.1538414527309329,,,,,-0.13571080625927417,-0.09656447267649657,,,,-0.12253916941953799,,,,-0.166104258134829,,-0.13110259997587856,,,,,-0.08593959558776862,,,-0.16707274154868565,-0.1492468832659468,,,-0.1770876125429991,,,,,-0.17007458901398498,,,,,,-0.16088716474174158,,-0.1831609052958691,,,-0.17452526428246373,-0.17708772807726064,,-0.17637482617123268
2021-09-26 08:00:00,,-0.18481936770881868,,,,,,,,,,,-0.11828903575793513,,-0.13799509642569777,,,,-0.17931399988282343,-0.1779149525446158,,-0.1853046442338394,0.12640636274210146,,,-0.18163744284251218,,,-0.012287016849632534,,-0.17160063206473267,,-0.1757304759070449,,-0.1646073818529271,-0.144529469612151,,,,,,-0.1692455702944103,,-0.09437630841154744,,-0.17871363120136036,,,,,-0.16461661160663155,-0.15948496214140265,,,,,-0.1669033608692714,,-0.17384715633192316,,-0.13202189956611604,,,,,,,,,-0.1866162755487778,,,-0.17705105487373857,,,-0.17977179983970934,,-0.1537993288330175,,,,,-0.12888942770352138,-0.09652085738246852,,,,-0.12274398834706135,,,,-0.1666973544571622,,-0.13144553928789246,,,,,-0.08613994783810675,,,-0.16767300964218845,-0.1497948121482945,,,-0.17779792571169695,,,,,-0.17010704403233337,,,,,,-0.16133881694330018,,-0.18351400173728735,,,-0.17516455338823678,-0.1764086737431414,,-0.1773630001886865
2021-09-26 09:00:00,,-0.18422106498850657,,,,,,,,,,,-0.1185053248323088,,-0.1393632011211369,,,,-0.17919954851057274,-0.17806073947040063,,-0.18458554283639672,0.12724819418442906,,,-0.181323481056469,,,-0.011707802874073806,,-0.17232831602698298,,-0.17419633925107061,,-0.16496321433988537,-0.1455045806693542,,,,,,-0.16954879423965918,,-0.0959728037028664,,-0.17881418842118893,,,,,-0.16389813158910718,-0.1582816448446397,,,,,-0.16704409867625272,,-0.17343906962522226,,-0.12856817320587738,,,,,,,,,-0.18637149797826794,,,-0.17712899770060905,,,-0.1794763721797707,,-0.15429635040019588,,,,,-0.12922511317800117,-0.09769899747282289,,,,-0.12432788844976127,,,,-0.16695791392750267,,-0.13159287887451715,,,,,-0.08766154854553614,,,-0.16758159859681304,-0.14990705070908225,,,-0.17742534841220786,,,,,-0.17024699577300345,,,,,,-0.16215084962322518,,-0.18336425260357225,,,-0.17491055482270101,-0.17592031636758249,,-0.1775639242398871
