,AAVE,AUDIO,AXS,BAT,BCH,BNB,BNT,BTC,CEL,CHZ,COMP,CRO,CRV,DOGE,DYDX,ENJ,ETH,FTM,FTT,GRT,HNT,HT,LINK,LTC,MATIC,MKR,OKB,OMG,PERP,REN,SHIB,SNX,SOL,SPELL,SRM,SUSHI,TRX,UNI,XRP,YFI
2021-09-26 00:00:00,-0.1831917456964409,-0.11639010393353477,-0.1386544294704875,-0.1784967172894438,-0.17657501265645748,-0.18431662242506763,0.12686119783844393,-0.18082904060176433,-0.0175014024919744,-0.17164712255519446,-0.1760808495597193,,-0.13426332418039175,-0.16777411262622144,-0.09594887324023017,-0.1846896896057738,-0.18205700121425317,-0.16421472174579935,-0.15963250481252025,-0.16596457023272904,,-0.13766154423959354,-0.1843838484471023,-0.17531602026881107,-0.17548075166722218,-0.16907313489733553,-0.13883798294150898,-0.09861073835919935,-0.1276405369143165,-0.1318789090133658,-0.08438369457387959,-0.167393416560693,-0.14882010487034145,,-0.17551867350811443,-0.17008413769503952,-0.15904534111490193,-0.18259351920697153,-0.17407204574537594,-0.1778003117165641
2021-09-26 01:00:00,-0.18488835688810473,-0.11636121456702755,-0.13858045194729776,-0.17868878735169635,-0.17663635820658016,-0.184181243250497,0.1271442153043417,-0.18092255344665034,-0.018650542668603953,-0.17137288667320102,-0.1764563623519139,,-0.13420169058840287,-0.16765444370078056,-0.0958265704036847,-0.1845443944966878,-0.18199074526307324,-0.16409212296721157,-0.15949715230956335,-0.16578614047263093,,-0.13748811733860133,-0.18417125507414053,-0.17519864102078558,-0.17543271797575533,-0.16900833252745215,-0.1380921681643877,-0.09844333041915498,-0.12770435945551428,-0.1321297514833261,-0.08431459208665364,-0.1675876916578863,-0.1486769001481456,,-0.17556129132157555,-0.1700811370840263,-0.1589562189650205,-0.18256361350823513,-0.17391185767602738,-0.17770722017460208
2021-09-26 02:00:00,-0.1851405036979707,-0.11806257348906847,-0.13839880579855904,-0.17834648294173994,-0.17657708321949167,-0.18430368496070093,0.12681296444664883,-0.18107208452615514,-0.01803963812569462,-0.1713178314987878,-0.1764322764984467,,-0.13402201701128758,-0.16771610115606156,-0.09638686198696543,-0.18444239827988063,-0.1820972339751178,-0.16392828027459644,-0.15953457880180164,-0.1653115842200015,,-0.13681528399825432,-0.18407808494898842,-0.1751814566577707,-0.17548821367586095,-0.1698106917893856,-0.13702795541081775,-0.0983965002075981,-0.1281405863762368,-0.1321145485305408,-0.08430916430308337,-0.1675423537848711,-0.14848647797679942,,-0.1758327875822225,-0.17057167219812802,-0.1593813571994251,-0.18226403404508904,-0.17389978356091054,-0.17724633116377805
2021-09-26 03:00:00,-0.18523027740807785,-0.11863545320365286,-0.13762247355075033,-0.17812450728116988,-0.176851930172276,-0.1844099560253054,0.1256259535130509,-0.18113737971508564,-0.017663505092442706,-0.17122362625981052,-0.1758909624044692,,-0.1347204107468599,-0.1679288102064857,-0.09613573614180683,-0.18418133102061418,-0.1821254439770087,-0.16441983744715077,-0.15960469445523942,-0.1649411382209801,,-0.13660039226259713,-0.1840359043313154,-0.1746035846278569,-0.17707961932007793,-0.17018485967238575,-0.13644058379451182,-0.09718539563321811,-0.12800388162655682,-0.1312994235298663,-0.08480398174162791,-0.1676076622834225,-0.14824658054109074,,-0.17591354674212345,-0.1703224152114824,-0.1592099600167059,-0.1823033195984322,-0.17390808639922037,-0.17688869982687042
2021-09-26 04:00:00,-0.1843413033256349,-0.11749166481228464,-0.13707883138410787,-0.17752548048390315,-0.1763139609652126,-0.18366740850020402,0.125289564327013,-0.1809548642540502,-0.016331980262902356,-0.1703480404886325,-0.17500952004213935,-0.16220415471594213,-0.1381375783690599,-0.16719924784400317,-0.10125495555063946,-0.18329239101068748,-0.1818160989609443,-0.16361066919236783,-0.15868465966156325,-0.16442540234021424,-0.17242799734302106,-0.13578222801308815,-0.18477159084923192,-0.1754815057028334,-0.1763254388110091,-0.16982301783575565,-0.13536135036874727,-0.09579427429347029,-0.12738066224955816,-0.13155477113911918,-0.08402766147784135,-0.16684881139374516,-0.14624649519312102,,-0.17458502190895714,-0.16937272747388746,-0.1586348032945627,-0.18163980811172617,-0.17311505606257224,-0.17702834798564798
2021-09-26 05:00:00,-0.18461471655859543,-0.11796593239139519,-0.13721913819906414,-0.17780777602849093,-0.17674572421330909,-0.1840015888452211,0.1270292288738752,-0.18111521072670295,-0.016398619316591395,-0.17071161197667767,-0.17519678705201497,-0.16262966299712114,-0.13935698382917255,-0.167674832607941,-0.102673745224933,-0.18355705333379935,-0.18168721717718014,-0.1641093388434174,-0.15878321883309335,-0.16471454075303957,-0.17266825106807213,-0.13640736715950863,-0.18502166504598622,-0.17627521353588924,-0.17666550703327932,-0.1567129133919546,-0.13586897464768902,-0.09541183149148802,-0.12681710681883743,-0.1329078503647213,-0.0844198031981572,-0.16667811238736255,-0.14619095088124984,,-0.17479860069486047,-0.16969526844567442,-0.1589435363687566,-0.1819158976210609,-0.17331663681584447,-0.17706479588063637
2021-09-26 06:00:00,-0.18472076971236676,-0.11684937472427177,-0.13725253127633472,-0.17821058367129744,-0.17780478973172104,-0.1842924568266351,0.12457007984398645,-0.18107577748882236,-0.012863206204146773,-0.17123889445694865,-0.17503953134748232,-0.16349064425709608,-0.14443044090791485,-0.16802700604660395,-0.09428663711684343,-0.18374984370480557,-0.18197766340032476,-0.16402936840451754,-0.15924429186390143,-0.16525849655292058,-0.1724974696933443,-0.13650258182925185,-0.18630500850581755,-0.17618384264069625,-0.17729281797766516,-0.15355154533073354,-0.13547364655375996,-0.09600471666618113,-0.12314917655126945,-0.1311298912433939,-0.08553210014261607,-0.16636035642814184,-0.14650303114999,,-0.17487887278084446,-0.1696499558972111,-0.15970757988904327,-0.18286309402373818,-0.1738107176153447,-0.1773293941578712
2021-09-26 07:00:00,-0.18475005822538987,-0.11752848822915969,-0.13721929896638396,-0.17858317509797225,-0.17770836097536546,-0.18452229516908736,0.125118610608139,-0.1811623828716801,-0.012647689853503443,-0.17133223288595348,-0.17514675989327702,-0.1636249276047486,-0.1444664705487222,-0.1681035816019885,-0.09416938112638742,-0.1794335255596342,-0.18198872941331987,-0.16379212025633652,-0.15941098105942605,-0.16539074146546923,-0.17278175525907782,-0.1352708723486295,-0.1861724126262529,-0.1761689521264741,-0.17887707249202633,-0.1540307459549987,-0.13482034466605228,-0.0955687959889557,-0.12253657676919405,-0.13084669476247962,-0.08571772781376782,-0.16648652313715354,-0.1470351778960643,,-0.17544391036205445,-0.16998248190801507,-0.16015164781205857,-0.18318672630766739,-0.17404341961451505,-0.17751710438260407
2021-09-26 08:00:00,-0.18490400439857538,-0.11765591096293708,-0.13743024976681031,-0.17865921116449096,-0.17785099885471914,-0.18465736875747574,0.12458733197896874,-0.18175064268537877,-0.013156272273342564,-0.1712438227000977,-0.1752472123685906,-0.1645531634370647,-0.1443627251692286,-0.1685535045450921,-0.09456407835231667,-0.1782400633751324,-0.18220707295633354,-0.1640349012371938,-0.15931617649907034,-0.1662404047066498,-0.17322024775799177,-0.13157596727848656,-0.18625438041014603,-0.17659040069787302,-0.1793291686228816,-0.1539963476330219,-0.12812728205814378,-0.09553246658911017,-0.12274491210272673,-0.13117989906643424,-0.08591163471465658,-0.16709278811805697,-0.14757277335227634,,-0.17615070776070713,-0.17002525548781974,-0.16060644383403788,-0.1835491571060758,-0.17468324974562666,-0.1768596865311926
2021-09-26 09:00:00,-0.1843927979493909,-0.11796957351534867,-0.13878972849606105,-0.1786253381980648,-0.17799531676558902,-0.18387090481999813,0.12544310713667275,-0.1814697359338528,-0.012614310952489034,-0.17204754137478914,-0.17388705348768868,-0.16489893507281403,-0.14532489633240475,-0.16889309208229245,-0.09616898640472751,-0.1783679691886556,-0.18138145604639536,-0.1634399847538792,-0.15824604133449405,-0.1664263926546818,-0.17292086184124705,-0.12768328739098483,-0.18601958419466125,-0.1767193942645675,-0.17913185784879898,-0.15449819708013035,-0.12818450200976117,-0.09677345439676296,-0.12429323719071736,-0.13141812404033643,-0.08745228494042079,-0.16710072340302573,-0.14781472258456002,,-0.17589826170546574,-0.17019691647711602,-0.16139987220326807,-0.18339430914650157,-0.1745226915874496,-0.1764363438286722
