,AAVE,AUDIO,AXS,BAT,BCH,BNB,BNT,BTC,CEL,CHZ,COMP,CRO,CRV,DOGE,DYDX,ENJ,ETH,FTM,FTT,GRT,HNT,HT,LINK,LTC,MATIC,MKR,OKB,OMG,PERP,REN,SHIB,SNX,SOL,SPELL,SRM,SUSHI,TRX,UNI,XRP,YFI
2021-09-26 10:00:00,-0.20032198666508486,-0.10912719294975327,-0.13370478651031967,-0.2394426068251581,-0.21089811480493123,-0.20400979156367818,0.11763547075258739,-0.17408807841643098,-0.07863031254725134,-0.2245800218889301,-0.19338976473644826,-0.17360722899148334,-0.1277222842098012,-0.22272309659523862,-0.03389385249950022,-0.15994667359976653,-0.17168851572350205,-0.1469816149157501,-0.07477774019857271,-0.1845490368984788,-0.2291571284892873,-0.06613524076882488,-0.1782855371200679,-0.1996584715727542,-0.2289928477108696,-0.1512953366557004,-0.016763830922079153,-0.07857516086538546,-0.05314794544718246,-0.0955997149763517,-0.08064990871453427,-0.16833849874103635,-0.1417601968930692,,-0.16380282082676742,-0.1520645007266903,-0.14833754462625207,-0.18452197646021606,-0.19984222374859456,-0.20914702663853377
2021-09-26 11:00:00,-0.17938073567604035,-0.10925173152404911,-0.13306566099063266,-0.23005039570946378,-0.20015609482411004,-0.1920362786568392,0.11768307810313454,-0.1671314545437149,-0.11545717596385964,-0.21942962814170894,-0.1804280123682843,-0.16820210550311254,-0.12188873809394718,-0.21788534068314522,-0.031761879586480364,-0.1563533723860177,-0.15868805389589072,-0.14439251122176305,-0.06913366868252496,-0.17934039017137599,-0.22492285726408515,-0.06612015911134576,-0.17099120937798126,-0.1947035115578031,-0.22287534935670514,-0.1476300163692538,-0.01840864626998779,-0.08003091868807355,-0.05764501670443868,-0.09490444790744852,-0.08108567556955977,-0.16181840463607133,-0.1401027144728339,,-0.15253571255522771,-0.12275114546371446,-0.14550046157405785,-0.12112417104505493,-0.19487731215901982,-0.19523202595648337
2021-09-26 12:00:00,-0.17974035941818778,-0.10937354863444923,-0.13226858194203553,-0.2297405619102285,-0.1991269052953193,-0.19080770410900194,0.11805204997475627,-0.1668559124112603,-0.11267155981829845,-0.21976067757838477,-0.18074627127081175,-0.16784297636917714,-0.12192560269435213,-0.2175768302224869,-0.03181350445285933,-0.15604594549032128,-0.15826240992817048,-0.14438792846375928,-0.06850964379881554,-0.18004517788374627,-0.22488004047060792,-0.06536521690065913,-0.17108420859400905,-0.19524509560818415,-0.2237382511863734,-0.14670456057486123,-0.018369892202783792,-0.08012645283587337,-0.056376326639834606,-0.09515162462688581,-0.08085840114258185,-0.16224875736575864,-0.139811599928852,,-0.15285669434642032,-0.12294295897072831,-0.1454592199712718,-0.12127297233655818,-0.19516113461620233,-0.19631765676511118
2021-09-26 13:00:00,-0.17938367218842063,-0.10941171458049637,-0.13211215772288878,-0.22951758879337109,-0.19884596420517348,-0.19056040448783595,0.11800757352668385,-0.16645767997696878,-0.10908292975649705,-0.21942857981840108,-0.18032070759599675,-0.16751778523586164,-0.12219354196691454,-0.21726894736407415,-0.032116456354267534,-0.15576072226063437,-0.15815730660296032,-0.14398868712849835,-0.06852575445280971,-0.17997445862419348,-0.22442805663625695,-0.06530685678717119,-0.17061964254183395,-0.19489449800852693,-0.22342132161743805,-0.14657572443367506,-0.018202603810235793,-0.08005373272824598,-0.05701422354108707,-0.09506574040957169,-0.08064413500200869,-0.16181881099374357,-0.13976302439957428,,-0.1525769541775039,-0.12506071684006206,-0.14557091452863813,-0.1211703089215123,-0.19487950798789083,-0.19619107960278737
2021-09-26 14:00:00,-0.17943320024904155,-0.10945233736744775,-0.13199933075897607,-0.22951841041245272,-0.1986449471666053,-0.1901973176188493,0.11811130039063415,-0.16627369851900986,-0.11061472461578044,-0.2192057691160819,-0.17983422765270327,-0.167311736533602,-0.12252286029620343,-0.21703024656707667,-0.03221680079920621,-0.15556955827384777,-0.15770749396161382,-0.14410314358049117,-0.06849039574218595,-0.179858190924317,-0.22418997525591258,-0.06521942786118622,-0.17021713500658286,-0.19467587995691799,-0.22275084482165458,-0.1461662348141887,-0.018010658305310786,-0.08013247105959989,-0.05645980806022358,-0.0954212080723407,-0.08049431817983839,-0.16086952136526572,-0.13950791570337445,,-0.1506924556181932,-0.12460966960929969,-0.14551452543181306,-0.1203266537314508,-0.19467602928163652,-0.1960458911641032
2021-09-26 15:00:00,-0.18086159556834233,-0.1092411012624265,-0.13204630193197514,-0.23103918289326827,-0.19944919719857132,-0.19098922406512142,0.11774445508379106,-0.16690744671461705,-0.11201604258850409,-0.2202639249620998,-0.18077969727436002,-0.16784394185122728,-0.12772744888109883,-0.21766763594049782,-0.03212784203664487,-0.15620576607240172,-0.15846380311473188,-0.14478410140666617,-0.06815647649579012,-0.18110393188270527,-0.2251928475116988,-0.06527735055811769,-0.17139209186810522,-0.19577819116795947,-0.22510177021485422,-0.1445880768168341,-0.017694485241762085,-0.07978532226972192,-0.05574071954651869,-0.09559384354230567,-0.0804910219653256,-0.161781425654693,-0.13921566530816334,,-0.15123404011886948,-0.12539037442377682,-0.1457872293563549,-0.1208801439271486,-0.19522849295204153,-0.1977014863682554
2021-09-26 16:00:00,-0.18101664454494876,-0.10951312727074299,-0.1322284342046477,-0.23121025419587157,-0.19972959424360995,-0.19114944477492082,0.1183937341360358,-0.16697781244294288,-0.11556348321464403,-0.22040957118628587,-0.18052539770568432,-0.1677481915235015,-0.12810918625623974,-0.21803074352177285,-0.03231627030898218,-0.1563031832895145,-0.15847405117342853,-0.1448236224649693,-0.06803320172421976,-0.18114150857197456,-0.22551984829735594,-0.06533485665378962,-0.17091436568331625,-0.1959512244181048,-0.2233361750974294,-0.1351754866900721,-0.016935123655072003,-0.0800538425952221,-0.05581344719565596,-0.09576167219547371,-0.08077681643328155,-0.16190858748798595,-0.13945302890944716,,-0.15074096846960092,-0.12623331994791173,-0.14600756246334934,-0.12093138191843193,-0.19524098395887404,-0.19804371016898345
2021-09-26 17:00:00,-0.18104010909736376,-0.1114080218932814,-0.13194843366420828,-0.23163033058032823,-0.19992764670693852,-0.1913270212376253,0.11817767603517307,-0.167294483641078,-0.11207741025169127,-0.2209601173063657,-0.18072824286023018,-0.16830270717386522,-0.1295370324151972,-0.218150554185944,-0.031745602879426245,-0.15642410659679556,-0.1586307629144905,-0.14433343974816137,-0.06792340783692613,-0.18123443021085625,-0.2251977754571036,-0.06494172731112782,-0.1706829966233582,-0.19632095034957245,-0.2233473001059111,-0.13517011773689697,-0.016953992916672732,-0.07989181979525854,-0.05583335441473234,-0.09609091211776634,-0.08087509436898227,-0.1621905851082323,-0.13872877541443493,,-0.15074213717857457,-0.12614054740517172,-0.14653087821963587,-0.1210555144221576,-0.19529360705114457,-0.19824213643365252
2021-09-26 18:00:00,-0.1800604381572344,-0.13043670411359046,-0.13124438012968762,-0.23033695637805712,-0.198955680588498,-0.19097815477728522,0.1189884831110433,-0.16642629618782454,-0.11116829448610291,-0.2200166099914364,-0.18028577693322828,-0.16805673579604083,-0.12894269509351072,-0.21755704814982546,-0.030223119695872627,-0.1564325348609249,-0.15767996219975636,-0.14403374365568727,-0.06738739210739117,-0.180268494116689,-0.22608331083867014,-0.06546548763726664,-0.16912003882007096,-0.19495138625208913,-0.22196061398774053,-0.1336565052630363,-0.016202256639476297,-0.07952637159728129,-0.05405021268992097,-0.09535772299758627,-0.09719755353708975,-0.16166318078237257,-0.1406446486610767,,-0.15024187614687126,-0.12532940496010855,-0.14773792562630497,-0.12006629283542626,-0.1945261981691323,-0.19678999207870704
2021-09-26 19:00:00,-0.18016185735599805,-0.13528322828826822,-0.13110657959691127,-0.23026251032528852,-0.19871973722083688,-0.19091855862191465,0.12204106088456035,-0.16636752587863893,-0.10943001508465518,-0.21989510431751702,-0.18050715175216792,-0.1671235299215112,-0.12910854722842535,-0.21756944924984012,-0.029730958881828626,-0.15642063303206344,-0.1577140516243111,-0.14390350416244363,-0.06679171592140874,-0.18006955148455367,-0.22624089776620035,-0.06457812600771833,-0.16870747677689096,-0.19478213448923198,-0.222289092370246,-0.13310064737199895,-0.015809561966055402,-0.0791252779477177,-0.05268084026381771,-0.09516532435712281,-0.11632357854749693,-0.16221005359873716,-0.13964304957389057,,-0.14986026819404688,-0.1262669473005934,-0.14804571282059092,-0.11948331136221964,-0.19452341168716644,-0.19645499535957403
